OBJECTID,STATE,NAME,LAT,LON,Date01Start,Date50Start,Date100Start,Dat50End,Date01End,Duration,x,y
146,AR,Caddo Valley,34.180746,-93.084597,4/9/24 0:13,4/8/24 17:16,4/8/24 17:49,4/8/24 17:52,4/8/24 18:24,150,-93.084597,34.180746
147,AR,Calico Rock,36.121965,-92.125913,4/9/24 0:13,4/8/24 17:21,4/8/24 17:52,4/8/24 17:56,4/8/24 18:28,210,-92.125913,36.121965
148,AR,Cammack Village,34.7808,-92.344976,4/9/24 0:13,4/8/24 17:19,4/8/24 17:51,4/8/24 17:54,4/8/24 18:26,150,-92.344976,34.7808
149,AR,Campbell Station,35.667799,-91.253754,4/9/24 0:13,4/8/24 17:22,4/8/24 17:54,4/8/24 17:57,4/8/24 18:29,180,-91.253754,35.667799
150,AR,Casa,35.024966,-93.045507,4/9/24 0:13,4/8/24 17:18,4/8/24 17:49,4/8/24 17:54,4/8/24 18:26,240,-93.045507,35.024966
151,AR,Cash,35.801157,-90.931648,4/9/24 0:13,4/8/24 17:22,4/8/24 17:54,4/8/24 17:57,4/8/24 18:30,150,-90.931648,35.801157
152,AR,Caulksville,35.301849,-93.867806,4/9/24 0:13,4/8/24 17:17,4/8/24 17:49,4/8/24 17:52,4/8/24 18:24,180,-93.867806,35.301849
153,AR,Cave City,35.948169,-91.54675,4/9/24 0:13,4/8/24 17:22,4/8/24 17:53,4/8/24 17:57,4/8/24 18:29,240,-91.54675,35.948169
154,AR,Center Point,34.031828,-93.951166,4/9/24 0:13,4/8/24 17:15,4/8/24 17:47,4/8/24 17:51,4/8/24 18:23,240,-93.951166,34.031828
155,AR,Center Ridge,35.380707,-92.575626,4/9/24 0:13,4/8/24 17:19,4/8/24 17:51,4/8/24 17:55,4/8/24 18:27,240,-92.575626,35.380707
156,AR,Centerville,35.115702,-93.171461,4/9/24 0:13,4/8/24 17:18,4/8/24 17:49,4/8/24 17:54,4/8/24 18:25,240,-93.171461,35.115702
157,AR,Central City,35.336381,-94.238042,4/9/24 0:13,4/8/24 17:16,4/8/24 17:49,4/8/24 17:51,4/8/24 18:24,60,-94.238042,35.336381
158,AR,Charleston,35.294515,-94.04835,4/9/24 0:13,4/8/24 17:17,4/8/24 17:49,4/8/24 17:52,4/8/24 18:24,150,-94.04835,35.294515
159,AR,Cherokee Village,36.291321,-91.569368,4/9/24 0:13,4/8/24 17:22,4/8/24 17:53,4/8/24 17:58,4/8/24 18:29,240,-91.569368,36.291321
160,AR,Clarksville,35.453918,-93.481558,4/9/24 0:13,4/8/24 17:18,4/8/24 17:50,4/8/24 17:53,4/8/24 18:25,180,-93.481558,35.453918
161,AR,Clinton,35.578981,-92.455735,4/9/24 0:13,4/8/24 17:20,4/8/24 17:51,4/8/24 17:55,4/8/24 18:27,240,-92.455735,35.578981
162,AR,Coal Hill,35.436892,-93.665193,4/9/24 0:13,4/8/24 17:17,4/8/24 17:49,4/8/24 17:53,4/8/24 18:25,180,-93.665193,35.436892
163,AR,College Station,34.700535,-92.228432,4/9/24 0:13,4/8/24 17:19,4/8/24 17:51,4/8/24 17:53,4/8/24 18:26,90,-92.228432,34.700535
164,AR,Concord,35.66633,-91.860623,4/9/24 0:13,4/8/24 17:21,4/8/24 17:52,4/8/24 17:56,4/8/24 18:28,240,-91.860623,35.66633
165,AR,Conway,35.074404,-92.467004,4/9/24 0:13,4/8/24 17:19,4/8/24 17:51,4/8/24 17:54,4/8/24 18:26,210,-92.467004,35.074404
